,title,artist,rank,performance
0,Rapstar,Polo G,1,Steady
1,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2,Rising
2,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,3,Rising
3,Montero (Call Me By Your Name),Lil Nas X,4,Failing
4,Levitating,Dua Lipa Featuring DaBaby,5,Rising
5,Save Your Tears,The Weeknd,6,Failing
6,Astronaut In The Ocean,Masked Wolf,7,Rising
7,Kiss Me More,Doja Cat Featuring SZA,8,Failing
8,Up,Cardi B,9,Failing
9,Drivers License,Olivia Rodrigo,10,Failing
10,Deja Vu,Olivia Rodrigo,11,Rising
11,Solid,Young Thug & Gunna Featuring Drake,12,New
12,Blinding Lights,The Weeknd,13,Failing
13,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,14,Failing
14,Best Friend,Saweetie Featuring Doja Cat,15,Rising
15,Calling My Phone,Lil Tjay Featuring 6LACK,16,Failing
16,What You Know Bout Love,Pop Smoke,17,Failing
17,Ski,Young Thug & Gunna,18,New
18,Mood,24kGoldn Featuring iann dior,19,Failing
19,Heartbreak Anniversary,Giveon,20,Rising
20,The Good Ones,Gabby Barrett,21,Failing
21,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,22,Rising
22,Back In Blood,Pooh Shiesty Featuring Lil Durk,23,Failing
23,Go Crazy,Chris Brown & Young Thug,24,Failing
24,You Broke Me First.,Tate McRae,25,Failing
25,34+35,Ariana Grande,26,Failing
26,My Ex's Best Friend,Machine Gun Kelly X blackbear,27,Rising
27,What's Next,Drake,28,Failing
28,Dakiti,Bad Bunny & Jhay Cortez,29,Rising
29,Therefore I Am,Billie Eilish,30,Failing
30,Without You,The Kid LAROI,31,Rising
31,On Me,Lil Baby,32,Rising
32,Positions,Ariana Grande,33,Failing
33,You're Mines Still,Yung Bleu Featuring Drake,34,Failing
34,Forever After All,Luke Combs,35,Rising
35,Wants And Needs,Drake Featuring Lil Baby,36,Rising
36,Track Star,Mooski,37,Failing
37,We're Good,Dua Lipa,38,Rising
38,Heat Waves,Glass Animals,39,Rising
39,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,40,Failing
40,Hell Of A View,Eric Church,41,Rising
41,Made For You,Jake Owen,42,Rising
42,No More Parties,Coi Leray Featuring Lil Durk,43,Failing
43,Good Days,SZA,44,Failing
44,Starting Over,Chris Stapleton,45,Failing
45,Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,46,New
46,Goosebumps,Travis Scott & HVME,47,Rising
47,Tombstone,Rod Wave,48,Failing
48,Breaking Up Was Easy In The 90's,Sam Hunt,49,Rising
49,Somebody Like That,Tenille Arts,50,Rising
50,Streets,Doja Cat,51,Failing
51,What's Your Country Song,Thomas Rhett,52,Rising
52,Time Today,Moneybagg Yo,53,Failing
53,Telepatia,Kali Uchis,54,Rising
54,Cry Baby,Megan Thee Stallion Featuring DaBaby,55,Failing
55,Hold On,Justin Bieber,56,Rising
56,Street Runner,Rod Wave,57,Failing
57,Just The Way,Parmalee x Blanco Brown,58,Failing
58,Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo,59,New
59,Willow,Taylor Swift,60,Rising
60,Damage,H.E.R.,61,Rising
61,Richer,Rod Wave Featuring Polo G,62,Failing
62,Glad You Exist,Dan + Shay,63,Rising
63,La Noche de Anoche,Bad Bunny & Rosalia,64,Rising
64,Settling Down,Miranda Lambert,65,Rising
65,Came And Saw,Young Thug Featuring Rowdy Rebel,66,New
66,Headshot,"Lil Tjay, Polo G & Fivio Foreign",67,Failing
67,Anyone,Justin Bieber,68,Rising
68,Down To One,Luke Bryan,69,Failing
69,Lady,Brett Young,70,Failing
70,Quicksand,Morray,71,Rising
71,One Too Many,Keith Urban Duet With P!nk,72,Rising
72,Famous Friends,Chris Young + Kane Brown,73,Rising
73,Gone,Dierks Bentley,74,Rising
74,My Head And My Heart,Ava Max,75,Failing
75,Almost Maybes,Jordan Davis,76,Rising
76,Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench,77,New
77,The Business,Tiesto,78,Rising
78,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,79,Re-Enter
79,Masterpiece,DaBaby,80,Rising
80,pov,Ariana Grande,81,Re-Enter
81,Long Live,Florida Georgia Line,82,Failing
82,Hellcats & Trackhawks,Lil Durk,83,Failing
83,Follow You,Imagine Dragons,84,Re-Enter
84,Momma's House,Dustin Lynch,85,Failing
85,Nobody,Dylan Scott,86,Rising
86,Big Gangsta,Kevin Gates,87,Failing
87,Pick Up Your Feelings,Jazmine Sullivan,88,Failing
88,Lil Bit,Nelly & Florida Georgia Line,89,Rising
89,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,90,Failing
90,Chasing After You,Ryan Hurd With Maren Morris,91,New
91,Wasted On You,Morgan Wallen,92,Rising
92,Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,93,Failing
93,Arcade,Duncan Laurence,94,Re-Enter
94,You Got It,VEDO,95,Re-Enter
95,Go!,Moneybagg Yo Featuring BIG30,96,New
96,Drankin N Smokin,Future & Lil Uzi Vert,97,Re-Enter
97,Monsters,All Time Low Featuring Demi Lovato & blackbear ,98,Failing
98,Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,99,New
99,4 Da Gang,42 Dugg & Roddy Ricch,100,"0
Failing"
